Wall time,Step,Value
1691811460.323318,30000,0.20197483897209167
1691811538.9489222,45000,0.10372065752744675
1691811617.1650891,60000,0.08304744213819504
1691811695.920079,75000,0.33617037534713745
1691811772.988427,90000,0.37036246061325073
1691811850.661925,105000,0.4302499294281006
1691811928.236705,120000,0.5303861498832703
1691812005.3747609,135000,0.4973338544368744
1691812083.835325,150000,0.7746753692626953
1691812161.43153,165000,0.8957145810127258
1691812237.546389,180000,1.0976396799087524
1691812319.0540779,195000,1.3535751104354858
1691812396.608022,210000,1.2827578783035278
