Wall time,Step,Value
1691812293.67431,30000,0.1697293221950531
1691812373.185334,45000,0.09408598393201828
1691812451.605834,60000,0.08493216335773468
1691812526.016413,75000,0.34568268060684204
1691812601.5017211,90000,0.3251471221446991
1691812676.613538,105000,0.2697654962539673
1691812753.241431,120000,0.5164477229118347
1691812828.833863,135000,0.725050151348114
1691812905.878506,150000,1.0116008520126343
1691812981.662963,165000,1.2571145296096802
1691813058.452758,180000,1.355459451675415
1691813134.244662,195000,1.3985570669174194
1691813210.244079,210000,1.7113265991210938
1691813287.201963,225000,1.9981380701065063
1691813359.741538,240000,2.0901453495025635
1691813432.188921,255000,2.145392417907715
1691813504.641804,270000,2.2536845207214355
1691813577.237003,285000,2.188349485397339
