Wall time,Step,Value
1691811332.6370392,30000,0.03395214304327965
1691811407.259704,45000,0.022132474929094315
1691811485.282391,60000,0.0381014309823513
1691811563.96995,75000,0.0565110482275486
1691811641.991319,90000,0.06910813599824905
1691811720.945502,105000,0.09255654364824295
1691811797.4440162,120000,0.13136200606822968
1691811874.7975428,135000,0.12212865799665451
1691811951.548693,150000,0.18398208916187286
1691812029.409102,165000,0.19114074110984802
1691812106.798558,180000,0.1558833122253418
1691812183.782571,195000,0.20474398136138916
1691812262.2775931,210000,0.20106910169124603
1691812344.334283,225000,0.208740234375
1691812421.7294562,240000,0.2710968554019928
1691812499.364547,255000,0.3280889689922333
1691812573.811648,270000,0.1847226619720459
1691812651.169299,285000,0.37466031312942505
1691812727.029462,300000,0.17254099249839783
1691812803.881247,315000,0.1688196063041687
1691812882.000816,330000,0.12361122667789459
1691812960.679067,345000,0.26591986417770386
1691813038.9527528,360000,0.2500799000263214
1691813116.6028001,375000,0.17515307664871216
1691813195.282932,390000,0.13784758746623993
1691813273.190125,405000,0.2542073130607605
