Wall time,Step,Value
1691713841.168501,30000,0.033843621611595154
1691713919.49606,45000,0.018488839268684387
1691713998.920653,60000,0.02432847209274769
1691714076.526023,75000,0.06266839057207108
1691714153.6720378,90000,0.06942404061555862
1691714231.110591,105000,0.09716946631669998
1691714308.621851,120000,0.07700362056493759
1691714385.7021708,135000,0.12114700675010681
1691714461.346959,150000,0.10969820618629456
1691714537.098999,165000,0.14519767463207245
1691714613.1314719,180000,0.21423393487930298
1691714689.54423,195000,0.21773388981819153
1691714766.1288068,210000,0.22087685763835907
