Wall time,Step,Value
1691948446.437278,30000,-1307.2210693359375
1691948566.950413,45000,-1073.0283203125
1691948702.62379,60000,-1546.0126953125
1691948838.620189,75000,-1268.6068115234375
1691948960.7931468,90000,-1074.7860107421875
1691949083.3280199,105000,-1254.5108642578125
1691949214.978026,120000,-1364.709716796875
1691949345.646956,135000,-1296.9693603515625
1691949474.373245,150000,-1423.3511962890625
1691949613.188235,165000,-1624.8544921875
