Wall time,Step,Value
1691715593.4985101,30000,0.21364596486091614
1691715674.2476292,45000,0.09397648274898529
1691715753.943241,60000,0.10734912753105164
1691715832.5325282,75000,0.3262704014778137
1691715912.188415,90000,0.48806920647621155
1691715991.5279748,105000,0.4310923218727112
1691716070.757309,120000,0.702898383140564
1691716147.965481,135000,1.018276572227478
1691716227.635731,150000,1.2924662828445435
1691716305.486868,165000,1.1775017976760864
1691716383.2189481,180000,1.165206789970398
1691716457.085763,195000,1.871527075767517
1691716532.990457,210000,1.4888767004013062
1691716612.004986,225000,1.534316062927246
1691716694.139928,240000,1.7996878623962402
1691716773.796226,255000,2.480881452560425
1691716851.729506,270000,1.9307477474212646
1691716930.874901,285000,2.821342945098877
1691717009.288587,300000,2.8481297492980957
1691717091.013931,315000,2.892033576965332
1691717175.633842,330000,3.031783103942871
1691717257.126374,345000,3.281853437423706
1691717337.854313,360000,5.754999160766602
1691717418.9865642,375000,6.127044200897217
1691717498.6330318,390000,5.99862813949585
1691717575.0706282,405000,7.252140045166016
