Wall time,Step,Value
1691692512.579297,10000,-0.0008661746978759766
1691692847.274405,15000,0.045671701431274414
1691693198.644436,20000,0.0018746256828308105
1691693564.592774,25000,0.05634719133377075
1691693651.961322,30000,0.05553561449050903
1691693726.388138,35000,0.4067598581314087
1691693801.26511,40000,0.3170105814933777
1691693877.344413,45000,0.18737220764160156
1691693960.312023,50000,0.36874979734420776
1691694039.216342,55000,0.3172668218612671
1691694117.1025631,60000,0.058402180671691895
1691694194.954868,65000,0.1946973204612732
1691694272.816257,70000,0.45665299892425537
1691694353.161537,75000,0.7636614441871643
1691694433.19326,80000,0.7549242973327637
1691694511.5609431,85000,0.14226484298706055
